DATE,UNDCONTSA
1970-01-01,889
1970-02-01,888
1970-03-01,890
1970-04-01,891
1970-05-01,883
1970-06-01,882
1970-07-01,891
1970-08-01,874
1970-09-01,890
1970-10-01,900
1970-11-01,914
1970-12-01,943
1971-01-01,971
1971-02-01,994
1971-03-01,1025
1971-04-01,1062
1971-05-01,1093
1971-06-01,1127
1971-07-01,1160
1971-08-01,1185
1971-09-01,1205
1971-10-01,1224
1971-11-01,1262
1971-12-01,1285
1972-01-01,1316
1972-02-01,1294
1972-03-01,1359
1972-04-01,1384
1972-05-01,1403
1972-06-01,1429
1972-07-01,1449
1972-08-01,1476
1972-09-01,1499
1972-10-01,1542
1972-11-01,1573
1972-12-01,1588
1973-01-01,1607
1973-02-01,1628
1973-03-01,1626
1973-04-01,1619
1973-05-01,1624
1973-06-01,1599
1973-07-01,1606
1973-08-01,1594
1973-09-01,1578
1973-10-01,1540
1973-11-01,1522
1973-12-01,1495
1974-01-01,1465
1974-02-01,1459
1974-03-01,1416
1974-04-01,1390
1974-05-01,1353
1974-06-01,1321
1974-07-01,1276
1974-08-01,1230
1974-09-01,1179
1974-10-01,1129
1974-11-01,1075
1974-12-01,1030
1975-01-01,990
1975-02-01,962
1975-03-01,924
1975-04-01,895
1975-05-01,873
1975-06-01,854
1975-07-01,850
1975-08-01,843
1975-09-01,835
1975-10-01,843
1975-11-01,828
1975-12-01,820
1976-01-01,827
1976-02-01,812
1976-03-01,840
1976-04-01,843
1976-05-01,844
1976-06-01,856
1976-07-01,858
1976-08-01,869
1976-09-01,895
1976-10-01,914
1976-11-01,930
1976-12-01,947
1977-01-01,963
1977-02-01,982
1977-03-01,1009
1977-04-01,1041
1977-05-01,1078
1977-06-01,1100
1977-07-01,1127
1977-08-01,1146
1977-09-01,1154
1977-10-01,1185
1977-11-01,1201
1977-12-01,1234
1978-01-01,1238
1978-02-01,1247
1978-03-01,1259
1978-04-01,1284
1978-05-01,1295
1978-06-01,1308
1978-07-01,1308
1978-08-01,1306
1978-09-01,1310
1978-10-01,1317
1978-11-01,1330
1978-12-01,1344
1979-01-01,1327
1979-02-01,1315
1979-03-01,1288
1979-04-01,1260
1979-05-01,1253
1979-06-01,1265
1979-07-01,1258
1979-08-01,1251
1979-09-01,1233
1979-10-01,1220
1979-11-01,1187
1979-12-01,1157
1980-01-01,1134
1980-02-01,1074
1980-03-01,1044
1980-04-01,976
1980-05-01,912
1980-06-01,881
1980-07-01,860
1980-08-01,854
1980-09-01,873
1980-10-01,894
1980-11-01,906
1980-12-01,913
1981-01-01,930
1981-02-01,926
1981-03-01,915
1981-04-01,902
1981-05-01,887
1981-06-01,854
1981-07-01,827
1981-08-01,801
1981-09-01,770
1981-10-01,737
1981-11-01,711
1981-12-01,694
1982-01-01,686
1982-02-01,687
1982-03-01,676
1982-04-01,669
1982-05-01,661
1982-06-01,654
1982-07-01,668
1982-08-01,670
1982-09-01,686
1982-10-01,697
1982-11-01,717
1982-12-01,735
1983-01-01,760
1983-02-01,798
1983-03-01,824
1983-04-01,854
1983-05-01,891
1983-06-01,925
1983-07-01,958
1983-08-01,976
1983-09-01,990
1983-10-01,996
1983-11-01,1016
1983-12-01,1026
1984-01-01,1040
1984-02-01,1039
1984-03-01,1069
1984-04-01,1086
1984-05-01,1081
1984-06-01,1093
1984-07-01,1098
1984-08-01,1087
1984-09-01,1089
1984-10-01,1081
1984-11-01,1080
1984-12-01,1080
1985-01-01,1074
1985-02-01,1067
1985-03-01,1065
1985-04-01,1085
1985-05-01,1088
1985-06-01,1071
1985-07-01,1070
1985-08-01,1075
1985-09-01,1063
1985-10-01,1085
1985-11-01,1088
1985-12-01,1094
1986-01-01,1100
1986-02-01,1111
1986-03-01,1106
1986-04-01,1135
1986-05-01,1137
1986-06-01,1149
1986-07-01,1151
1986-08-01,1157
1986-09-01,1148
1986-10-01,1136
1986-11-01,1119
1986-12-01,1107
1987-01-01,1090
1987-02-01,1096
1987-03-01,1084
1987-04-01,1079
1987-05-01,1070
1987-06-01,1060
1987-07-01,1051
1987-08-01,1045
1987-09-01,1048
1987-10-01,1041
1987-11-01,1042
1987-12-01,1018
1988-01-01,1008
1988-02-01,976
1988-03-01,994
1988-04-01,999
1988-05-01,987
1988-06-01,980
1988-07-01,971
1988-08-01,967
1988-09-01,958
1988-10-01,953
1988-11-01,960
1988-12-01,955
1989-01-01,955
1989-02-01,947
1989-03-01,940
1989-04-01,922
1989-05-01,913
1989-06-01,913
1989-07-01,918
1989-08-01,901
1989-09-01,895
1989-10-01,897
1989-11-01,882
1989-12-01,885
1990-01-01,891
1990-02-01,898
1990-03-01,885
1990-04-01,872
1990-05-01,858
1990-06-01,846
1990-07-01,831
1990-08-01,813
1990-09-01,793
1990-10-01,766
1990-11-01,758
1990-12-01,745
1991-01-01,716
1991-02-01,710
1991-03-01,678
1991-04-01,670
1991-05-01,662
1991-06-01,654
1991-07-01,652
1991-08-01,651
1991-09-01,633
1991-10-01,630
1991-11-01,636
1991-12-01,633
1992-01-01,639
1992-02-01,630
1992-03-01,656
1992-04-01,650
1992-05-01,650
1992-06-01,644
1992-07-01,629
1992-08-01,635
1992-09-01,638
1992-10-01,643
1992-11-01,641
1992-12-01,638
1993-01-01,636
1993-02-01,640
1993-03-01,633
1993-04-01,636
1993-05-01,648
1993-06-01,654
1993-07-01,663
1993-08-01,665
1993-09-01,677
1993-10-01,687
1993-11-01,695
1993-12-01,703
1994-01-01,709
1994-02-01,716
1994-03-01,732
1994-04-01,740
1994-05-01,749
1994-06-01,757
1994-07-01,764
1994-08-01,773
1994-09-01,774
1994-10-01,775
1994-11-01,785
1994-12-01,784
1995-01-01,783
1995-02-01,793
1995-03-01,771
1995-04-01,761
1995-05-01,758
1995-06-01,759
1995-07-01,762
1995-08-01,774
1995-09-01,780
1995-10-01,781
1995-11-01,786
1995-12-01,799
1996-01-01,803
1996-02-01,793
1996-03-01,814
1996-04-01,827
1996-05-01,832
1996-06-01,826
1996-07-01,824
1996-08-01,820
1996-09-01,824
1996-10-01,821
1996-11-01,829
1996-12-01,814
1997-01-01,817
1997-02-01,810
1997-03-01,808
1997-04-01,810
1997-05-01,816
1997-06-01,826
1997-07-01,836
1997-08-01,836
1997-09-01,846
1997-10-01,858
1997-11-01,865
1997-12-01,872
1998-01-01,886
1998-02-01,896
1998-03-01,905
1998-04-01,906
1998-05-01,912
1998-06-01,927
1998-07-01,938
1998-08-01,941
1998-09-01,952
1998-10-01,972
1998-11-01,976
1998-12-01,1003
1999-01-01,973
1999-02-01,989
1999-03-01,994
1999-04-01,991
1999-05-01,989
1999-06-01,981
1999-07-01,983
1999-08-01,989
1999-09-01,983
1999-10-01,983
1999-11-01,983
1999-12-01,983
2000-01-01,991
2000-02-01,998
2000-03-01,988
2000-04-01,989
2000-05-01,985
2000-06-01,982
2000-07-01,979
2000-08-01,976
2000-09-01,970
2000-10-01,972
2000-11-01,970
2000-12-01,969
2001-01-01,986
2001-02-01,987
2001-03-01,1001
2001-04-01,1007
2001-05-01,1015
2001-06-01,1013
2001-07-01,1017
2001-08-01,1011
2001-09-01,1014
2001-10-01,1008
2001-11-01,1011
2001-12-01,996
2002-01-01,996
2002-02-01,1005
2002-03-01,1013
2002-04-01,1011
2002-05-01,1019
2002-06-01,1023
2002-07-01,1029
2002-08-01,1013
2002-09-01,1024
2002-10-01,1026
2002-11-01,1031
2002-12-01,1033
2003-01-01,1049
2003-02-01,1044
2003-03-01,1044
2003-04-01,1043
2003-05-01,1047
2003-06-01,1064
2003-07-01,1078
2003-08-01,1102
2003-09-01,1121
2003-10-01,1135
2003-11-01,1158
2003-12-01,1183
2004-01-01,1191
2004-02-01,1197
2004-03-01,1219
2004-04-01,1222
2004-05-01,1233
2004-06-01,1229
2004-07-01,1247
2004-08-01,1238
2004-09-01,1247
2004-10-01,1264
2004-11-01,1268
2004-12-01,1280
2005-01-01,1302
2005-02-01,1322
2005-03-01,1311
2005-04-01,1324
2005-05-01,1322
2005-06-01,1329
2005-07-01,1338
2005-08-01,1356
2005-09-01,1377
2005-10-01,1376
2005-11-01,1395
2005-12-01,1405
2006-01-01,1424
2006-02-01,1423
2006-03-01,1423
2006-04-01,1401
2006-05-01,1409
2006-06-01,1383
2006-07-01,1363
2006-08-01,1339
2006-09-01,1317
2006-10-01,1283
2006-11-01,1265
2006-12-01,1247
2007-01-01,1217
2007-02-01,1206
2007-03-01,1192
2007-04-01,1181
2007-05-01,1164
2007-06-01,1161
2007-07-01,1144
2007-08-01,1123
2007-09-01,1108
2007-10-01,1096
2007-11-01,1080
2007-12-01,1059
2008-01-01,1041
2008-02-01,1025
2008-03-01,1014
2008-04-01,1009
2008-05-01,991
2008-06-01,975
2008-07-01,955
2008-08-01,936
2008-09-01,904
2008-10-01,876
2008-11-01,842
2008-12-01,806
2009-01-01,783
2009-02-01,756
2009-03-01,717
2009-04-01,677
2009-05-01,650
2009-06-01,627
2009-07-01,611
2009-08-01,588
2009-09-01,576
2009-10-01,554
2009-11-01,532
2009-12-01,517
2010-01-01,501
2010-02-01,493
2010-03-01,492
2010-04-01,488
2010-05-01,476
2010-06-01,447
2010-07-01,443
2010-08-01,444
2010-09-01,439
2010-10-01,436
2010-11-01,431
2010-12-01,427
2011-01-01,431
2011-02-01,424
2011-03-01,420
2011-04-01,417
2011-05-01,415
2011-06-01,416
2011-07-01,417
2011-08-01,414
2011-09-01,417
2011-10-01,422
2011-11-01,433
2011-12-01,434
2012-01-01,441
2012-02-01,450
2012-03-01,458
2012-04-01,463
2012-05-01,474
2012-06-01,486
2012-07-01,490
2012-08-01,495
2012-09-01,511
2012-10-01,520
2012-11-01,534
2012-12-01,551
2013-01-01,559.0
2013-02-01,581.0
2013-03-01,596.0
2013-04-01,606.0
2013-05-01,620
2013-06-01,629
2013-07-01,640.0
2013-08-01,654.0
2013-09-01,661
2013-10-01,670.0
2013-11-01,687.0
2013-12-01,707.0
2014-01-01,713.0
2014-02-01,714.0
2014-03-01,726.0
2014-04-01,743
2014-05-01,754.0
2014-06-01,771.0
2014-07-01,790.0
2014-08-01,793.0
2014-09-01,797.0
2014-10-01,806.0
2014-11-01,814.0
2014-12-01,826.0
2015-01-01,830.0
2015-02-01,830.0
2015-03-01,843.0
2015-04-01,868.0
2015-05-01,878.0
2015-06-01,896.0
2015-07-01,908.0
2015-08-01,921.0
2015-09-01,939.0
2015-10-01,943.0
2015-11-01,962.0
2015-12-01,970.0
2016-01-01,968.0
2016-02-01,982.0
2016-03-01,987.0
2016-04-01,998.0
2016-05-01,1010.0
2016-06-01,1016.0
2016-07-01,1033.0
2016-08-01,1038.0
2016-09-01,1038.0
2016-10-01,1053.0
2016-11-01,1042.0
2016-12-01,1057.0
2017-01-01,1063.0
2017-02-01,1070.0
2017-03-01,1071.0
2017-04-01,1075.0
2017-05-01,1071.0
2017-06-01,1073.0
2017-07-01,1075.0
2017-08-01,1083.0
2017-09-01,1093.0
2017-10-01,1101.0
2017-11-01,1107.0
2017-12-01,1100.0
2018-01-01,1105.0
2018-02-01,1109.0
2018-03-01,1121.0
2018-04-01,1124.0
2018-05-01,1131.0
2018-06-01,1126.0
2018-07-01,1127.0
2018-08-01,1129.0
2018-09-01,1135.0
2018-10-01,1141.0
2018-11-01,1144.0
2018-12-01,1148.0
2019-01-01,1152.0
2019-02-01,1140.0
2019-03-01,1125.0
2019-04-01,1123.0
2019-05-01,1132.0
2019-06-01,1142.0
2019-07-01,1146.0
2019-08-01,1149.0
2019-09-01,1161.0
2019-10-01,1160.0
2019-11-01,1165.0
2019-12-01,1177.0
2020-01-01,1195.0
2020-02-01,1213.0
2020-03-01,1215.0
2020-04-01,1193.0
2020-05-01,1180.0
2020-06-01,1183.0
2020-07-01,1201.0
2020-08-01,1213.0
2020-09-01,1218.0
2020-10-01,1228.0
2020-11-01,1248.0
2020-12-01,1262.0
2021-01-01,1282.0
2021-02-01,1286.0
2021-03-01,1308.0
2021-04-01,1320.0
2021-05-01,1338.0
2021-06-01,1372.0
2021-07-01,1387.0
2021-08-01,1412.0
2021-09-01,1437.0
2021-10-01,1464.0
2021-11-01,1493.0
2021-12-01,1526.0
2022-01-01,1553.0
2022-02-01,1581.0
2022-03-01,1631.0
2022-04-01,1669.0
2022-05-01,1680.0
2022-06-01,1688.0
2022-07-01,1683.0
2022-08-01,1702.0
2022-09-01,1698.0
2022-10-01,1710.0
2022-11-01,1695.0
2022-12-01,1696.0
2023-01-01,1695.0
2023-02-01,1686.0
2023-03-01,1668.0
2023-04-01,1675.0
